,station_date,split,pos_lat,pos_lon,pos_height,solution_quality,num_satellites,sdn,sde,sdu,sdne,sdeu,sdun,age,ratio,pdop,pos_uncertainty,bds_sat_count_obs,snr_mean,snr_min,snr_max,snr_std,true_h_error_m,reliability_class
2023-12-10 00:00:00,JFNG_20231210,train,30.51555391,114.491015437,77.6242,5,13,1.9066,1.5048,3.7085,0.435,-1.1628,-0.8133,0.0,0.0,4.433116155708081,2.4288982275920907,22,43.400000000000006,33.7,50.7,4.992661280986991,2.001618158454431,0
2023-12-10 00:00:30,JFNG_20231210,train,30.515553063,114.491016484,77.2302,5,13,1.9101,1.5046,3.7039,0.4369,-1.1589,-0.822,0.0,0.0,4.4307085641012325,2.431522808858679,22,43.38181818181818,33.3,51.1,4.880147964544125,2.06330969714378,0
2023-12-10 00:01:00,JFNG_20231210,train,30.515564214,114.491013601,74.7093,5,14,1.7814,1.4964,3.3918,0.549,-1.2507,0.5854,0.0,0.0,4.113016673926815,2.3264992843325785,23,42.77391304347825,32.2,50.8,5.296501194296642,1.1030438155727362,0
2023-12-10 00:01:30,JFNG_20231210,train,30.515565602,114.491014278,75.1794,5,14,1.7846,1.4961,3.3879,0.5521,-1.2483,0.5738,0.0,0.0,4.1110800016540665,2.328757688124722,23,42.973913043478255,31.9,50.5,5.327221465036854,0.9526056991953868,0
2023-12-10 00:02:00,JFNG_20231210,train,30.515564723,114.491013471,74.962,5,14,1.7883,1.4957,3.3859,0.5551,-1.2459,0.5664,0.0,0.0,4.110894572960976,2.331337680388665,23,43.04347826086956,30.5,51.0,5.546729264494242,1.0745643028132634,0
2023-12-10 00:02:30,JFNG_20231210,train,30.515563968,114.491013625,75.1179,5,14,1.7916,1.4954,3.3822,0.5581,-1.2436,0.5549,0.0,0.0,4.109176141272116,2.333677724108451,23,43.047826086956526,32.1,50.7,5.162616458313766,1.1202859389084556,0
2023-12-10 00:03:00,JFNG_20231210,train,30.515562779,114.491015534,74.9633,5,14,1.795,1.4951,3.3786,0.5611,-1.2412,0.5431,0.0,0.0,4.107588948519557,2.336096960744566,23,42.88695652173914,31.9,50.9,5.299425727706565,1.1042178194062706,0
2023-12-10 00:03:30,JFNG_20231210,train,30.515564098,114.491013418,74.9192,5,14,1.7983,1.4948,3.375,0.564,-1.2389,0.5311,0.0,0.0,4.105963337634665,2.3384417739169816,23,42.64347826086957,24.9,50.0,6.149192562439437,1.1246571233442884,0
2023-12-10 00:04:00,JFNG_20231210,train,30.515563421,114.491015469,74.8992,5,14,1.8017,1.4945,3.3715,0.567,-1.2366,0.5187,0.0,0.0,4.104468953470108,2.340865895347275,23,42.734782608695646,32.2,50.6,5.642179518884538,1.0495859249852182,0
2023-12-10 00:04:30,JFNG_20231210,train,30.515567991,114.491014684,75.412,5,14,1.8052,1.4942,3.3679,0.5699,-1.2344,0.5061,0.0,0.0,4.102941760493317,2.3433695141825157,23,42.760869565217384,30.0,50.2,5.46465828012851,0.776597071830304,0
2023-12-10 00:05:00,JFNG_20231210,train,30.515563027,114.491015109,74.868,5,14,1.8086,1.494,3.3645,0.5728,-1.2322,0.4932,0.0,0.0,4.101576551766406,2.345862306274603,23,43.0695652173913,30.1,50.5,5.3429167028207205,1.1053200215566164,0
2023-12-10 00:05:30,JFNG_20231210,train,30.515562612,114.491014587,75.2702,5,14,1.8121,1.4937,3.361,0.5757,-1.23,0.4799,0.0,0.0,4.100142326797937,2.348370945996394,23,43.28260869565217,31.5,51.2,5.34591196182254,1.1722631755254092,0
2023-12-10 00:06:00,JFNG_20231210,train,30.515564319,114.491013039,75.2655,5,14,1.8156,1.4935,3.3576,0.5786,-1.2278,0.4662,0.0,0.0,4.098831951910203,2.350945684187536,23,43.1304347826087,33.7,50.8,5.071259013715403,1.1352311866469806,0
2023-12-10 00:06:30,JFNG_20231210,train,30.515561893,114.491013842,75.063,5,14,1.8192,1.4933,3.3543,0.5815,-1.2257,0.4521,0.0,0.0,4.097653233254371,2.3536001210910915,23,42.90434782608696,28.8,51.0,5.614630098790575,1.2791325812150478,0
2023-12-10 00:07:00,JFNG_20231210,train,30.515564751,114.491016085,75.2929,5,14,1.8244,1.4931,3.3517,0.5851,-1.2233,0.444,0.0,0.0,4.097764739464676,2.3574950625611075,23,42.721739130434784,29.9,49.7,5.369861731903611,0.8965950357428548,0
2023-12-10 00:07:30,JFNG_20231210,train,30.515563208,114.491015789,75.2726,5,14,1.8282,1.4929,3.3485,0.588,-1.2211,0.4298,0.0,0.0,4.096769202676665,2.360310498642075,23,43.09130434782608,31.7,50.3,5.371466114697538,1.0510449529083064,0
2023-12-10 00:08:00,JFNG_20231210,train,30.515562678,114.491013651,75.0739,5,14,1.832,1.4927,3.3454,0.591,-1.2191,0.4151,0.0,0.0,4.095861136562127,2.363128707878604,23,42.93913043478261,31.5,50.7,5.310430485069821,1.223088793798952,0
2023-12-10 00:08:30,JFNG_20231210,train,30.515562248,114.491014606,75.1267,5,14,1.8359,1.4926,3.3422,0.5939,-1.217,0.3999,0.0,0.0,4.094958413708252,2.366090355417561,23,43.04347826086956,30.1,50.8,5.483929089701067,1.2036443748980248,0
2023-12-10 00:09:00,JFNG_20231210,train,30.515563763,114.491015007,75.4237,5,14,1.8397,1.4924,3.3392,0.5968,-1.215,0.3841,0.0,0.0,4.0941434378878325,2.3689140655583096,23,43.095652173913045,32.7,51.1,5.077443725203529,1.04705043883232,0
2023-12-10 00:09:30,JFNG_20231210,train,30.51556368,114.491014588,75.4264,5,14,1.8436,1.4923,3.3361,0.5997,-1.213,0.3675,0.0,0.0,4.093334027415794,2.3718811627060914,23,43.1,33.7,51.0,5.145518791760811,1.080110842947963,0
2023-12-10 00:10:00,JFNG_20231210,train,30.515564118,114.491015978,75.5329,5,14,1.8476,1.4922,3.3331,0.6026,-1.2111,0.3502,0.0,0.0,4.0926571087742,2.3749287568261916,23,43.22608695652174,34.2,50.3,5.001292323108674,0.9583185738198112,0
2023-12-10 00:10:30,JFNG_20231210,train,30.515563215,114.491014563,75.1782,5,14,1.8515,1.4921,3.3301,0.6055,-1.2091,0.3319,0.0,0.0,4.091940941655928,2.3779013141844216,23,42.87826086956522,30.6,50.2,5.372908178304383,1.121111368997912,0
2023-12-10 00:11:00,JFNG_20231210,train,30.515562408,114.491014268,75.4944,5,14,1.8555,1.492,3.3272,0.6084,-1.2073,0.3125,0.0,0.0,4.091357243018507,2.3809544829752625,23,43.20434782608695,30.8,51.0,5.342750250306873,1.2088686446544574,0
2023-12-10 00:11:30,JFNG_20231210,train,30.515564329,114.491016628,75.3868,5,14,1.8596,1.4919,3.3243,0.6113,-1.2054,0.2918,0.0,0.0,4.0908248874768525,2.3840884568320866,23,43.2695652173913,29.7,51.2,5.484808340283576,0.9028041011034704,0
2023-12-10 00:12:00,JFNG_20231210,train,30.51556275,114.491015219,75.2325,5,14,1.8636,1.4918,3.3215,0.6141,-1.2036,0.2695,0.0,0.0,4.090334271181268,2.3871472933189524,23,43.01739130434783,28.3,51.0,5.716853248701917,1.1240525724966466,0
2023-12-10 00:12:30,JFNG_20231210,train,30.515560334,114.491014976,75.331,5,14,1.8677,1.4918,3.3187,0.617,-1.2018,0.245,0.0,0.0,4.089931566664656,2.390349457715336,23,42.71739130434783,27.0,50.8,5.837235660661883,1.3635760123252976,0
2023-12-10 00:13:00,JFNG_20231210,train,30.515565632,114.491015747,76.0126,5,14,1.8718,1.4918,3.3159,0.6198,-1.2,0.2178,0.0,0.0,4.089534850077696,2.393554361195918,23,43.00869565217391,30.1,51.1,5.515755370958085,0.8456238205888434,0
2023-12-10 00:13:30,JFNG_20231210,train,30.515562561,114.491015118,76.1181,5,14,1.8759,1.4918,3.3132,0.6226,-1.1983,0.1866,0.0,0.0,4.089225145427921,2.396761992772749,23,42.86956521739131,26.2,50.6,5.922026279654371,1.146802960974796,0
2023-12-10 00:14:00,JFNG_20231210,train,30.51555488,114.491014971,74.848,5,13,2.1223,1.4928,3.5909,0.6672,-1.1643,1.1797,0.0,0.0,4.430256419215484,2.5947271783368673,22,43.68181818181818,34.7,50.4,4.740367311831674,1.9147577078429856,0
2023-12-10 00:14:30,JFNG_20231210,train,30.515555353,114.491015656,74.9984,5,13,2.1259,1.4927,3.5882,0.669,-1.1633,1.1739,0.0,0.0,4.429761092880743,2.597615079260205,22,43.81818181818182,35.7,50.3,4.4495731591582235,1.8429468732951713,0
2023-12-10 00:15:00,JFNG_20231210,train,30.515556086,114.491016218,74.5871,5,13,2.1296,1.4927,3.5855,0.6708,-1.1624,1.168,0.0,0.0,4.429352063225501,2.600644045231873,22,43.68181818181818,35.0,51.1,4.638825422313422,1.748411349112803,0
2023-12-10 00:15:30,JFNG_20231210,train,30.515558074,114.491015169,74.9285,5,13,2.1332,1.4927,3.5828,0.6725,-1.1615,1.1619,0.0,0.0,4.428899566483755,2.6035928118659415,22,43.518181818181816,34.8,50.7,4.79768161904778,1.5792533490761314,0
2023-12-10 00:16:00,JFNG_20231210,train,30.515555876,114.491016916,75.0212,5,13,2.1368,1.4928,3.5801,0.6743,-1.1606,1.1558,0.0,0.0,4.428485304254718,2.606600483388277,22,43.595454545454544,34.9,50.2,4.76739694100183,1.7508106882328476,0
2023-12-10 00:16:30,JFNG_20231210,train,30.515555998,114.491016074,74.4452,5,13,2.1404,1.4928,3.5773,0.6761,-1.1598,1.1494,0.0,0.0,4.427961075935515,2.609552452049968,22,43.595454545454544,35.7,49.8,4.69340746079792,1.76209068411119,0
2023-12-10 00:17:00,JFNG_20231210,train,30.515554607,114.491015558,74.393,5,13,2.1458,1.4943,3.5783,0.682,-1.1544,1.1491,0.0,0.0,4.431886846479725,2.6148403641522746,22,43.55909090909091,34.9,50.9,4.760718142196325,1.9244431015291872,0
2023-12-10 00:17:30,JFNG_20231210,train,30.515555372,114.491016527,74.5876,5,13,2.1495,1.4944,3.5759,0.6841,-1.1533,1.1431,0.0,0.0,4.431776440661239,2.617934607663072,22,43.57727272727273,35.5,50.5,4.81109153224107,1.815119018951208,0
2023-12-10 00:18:00,JFNG_20231210,train,30.515556589,114.491014829,74.5645,5,13,2.1533,1.4947,3.5734,0.6862,-1.1522,1.1368,0.0,0.0,4.431705827331052,2.621226617444589,22,43.559090909090905,35.6,49.9,4.53154647111926,1.7434625673291462,0
2023-12-10 00:18:30,JFNG_20231210,train,30.515554219,114.491014254,74.6522,5,13,2.157,1.4949,3.571,0.6883,-1.1512,1.1305,0.0,0.0,4.431638072992875,2.6243808812746674,22,43.71818181818181,35.5,50.3,4.668907934271278,2.0080842522882447,0
2023-12-10 00:19:00,JFNG_20231210,train,30.515554469,114.491015812,74.6569,5,13,2.1607,1.4951,3.5685,0.6903,-1.1502,1.124,0.0,0.0,4.431494189322604,2.6275365839508305,22,43.71363636363637,35.4,50.9,4.652525730288407,1.931377906309056,0
2023-12-10 00:19:30,JFNG_20231210,train,30.515555775,114.49101606,74.4443,5,13,2.1645,1.4954,3.5661,0.6924,-1.1492,1.1173,0.0,0.0,4.431517868631469,2.630832835814545,22,43.736363636363635,35.5,50.3,4.3465964193723385,1.7860098366494246,0
